epoch,train_loss
1,0.6936121569885002
2,0.6931972858451662
3,0.6930089776332562
4,0.6927112620392125
5,0.6920943649915549
6,0.6910040445161827
7,0.6897043460236364
8,0.6881154726494799
9,0.6865337317461496
10,0.6848168706064259
11,0.6832306578264131
12,0.6815916891499754
13,0.680337348045447
14,0.6783240370916359
15,0.6770608969878801
16,0.6758140599552965
17,0.6749058747902895
18,0.6737390054669572
19,0.6730398631794549
20,0.6724110146363577
21,0.6713418588315174
22,0.6705404939232292
23,0.6701760237470215
24,0.6691466186727796
25,0.6687631468414824
